"id","corporate","zone","circle","division","subdivision","section","col7_blank","tariff","col9_blank","debit","credit","demand_based_tariff","time_of_day","voltage_class_kv","active_installations","inactive_installations","total_installations_10_11","metered_installations","unmetered_installations","total_metered_13_14","dc_mnr_installations","installations_billed","installations_unbilled","total_billed_17_18","ob_active","ob_inactive","ob_total_20_21","sl_kw_active","sl_kw_inactive","sl_kw_total_23_24","sl_hp_active","sl_hp_inactive","sl_hp_total_26_27","assessed_taxed_consumption","assessed_tax_exempted_consumption","metered_taxed_consumption","metered_tax_exempted_consumption","total_consumption_29_32","bill_cancellation_consumption","net_consumption_33_34","wheeled_energy_units","ob_revenue","ob_interest_rev_misc","ob_interest_tax","ob_tax","ob_pg_surcharge","ob_total_sum","texd_revenue","texd_misc_demand","texd_interest_rev_misc_arrears","texd_pg_surcharge","texd_total_sum","tcd_revenue","tcd_misc_demand","tcd_interest_rev_misc_arrears","tcd_interest_tax","tcd_tax","tcd_pg_surcharge","tcd_total_sum","dbadj_revenue","dbadj_misc","dbadj_tax","dbadj_pg_surcharge","dbadj_total","bc_revenue","bc_misc","bc_interest_rev_misc","bc_interest_tax","bc_tax","bc_pg_surcharge","bc_total_sum","net_demand_revenue","fixed_charges","energy_charges","fppca_charges","net_demand_tax","net_demand_pg_surcharge","col_revenue","col_interest_rev_misc","col_interest_tax","col_tax","col_pg_surcharge","col_total_sum","cradj_revenue","cradj_misc","cradj_tax","cradj_pg_surcharge","cradj_total","net_iod","net_reversal_iod","suspense_to_rr_transfer","from_rr_transfer","to_rr_transfer","pc_revenue","pc_interest_rev","pc_interest_tax","pc_tax","pc_pg_surcharge","pc_total","net_collection","net_collection_pg_surcharge","write_off","cb_revenue","cb_interest_rev_misc","cb_interest_tax","cb_tax","cb_pg_surcharge","cb_total_sum","average_cost_of_supply","pct_live_installations","pct_billed_installations","pct_dc_mnr_installations","pct_metered_consumption","pct_assessed_consumption","pct_collection_eff_with_adj","pct_collection_eff_without_adj","ratio_arrears_demand","demand_per_unit","collection_per_unit_with_adj","collection_per_unit_without_adj","consumption_per_installation","pct_recovery_avg_cost","gst_tcs_ob","gst_tcs_demand","gst_tcs_debit_adjustment","gst_tcs_bill_cancellation","gst_tcs_net_demand","gst_tcs_collection","gst_tcs_credit_adjustment","gst_tcs_payment_cancellation","gst_tcs_cb","balance_transfer_amount"
"1","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT1",,"LT1","LT1",,,"0.4","34257","4105","38362","37549","387","37936","1075","19253","844","20097","0","0","0","1121331.29","0","0","0","0","0","883273.71","0","42069637.85","0","42952911.57","349332.96","42603578.61","0","714839880.69","5339693.83","332476.37","47528036.55","7746060.18","754322560.4","0","0","0","0","0","262012758.63","22536547.41","1986451.81","91073.95","23299609.89","5778821.66","294188420.86","2202378.9","0","199656.99","0","2312497.45","2611251.4","0","0","0","0","0","0","275508727.68","32478730.08","227101364.83","8684191.99","23299609.89","5778821.66","236238438.82","1791045.73","82115.98","21007616.13","5210354.24","254871646.36","2341425.73","0","212262.69","0","2458496.82","1967281.52","0","0","0","0","0","0","0","0","0","0","254871646.36","5210354.24","0","751768743.82","5535099.91","341434.35","49820030.29","8314523.73","793284360.98","9.92","89.299307","56.201652","3.138045","97.943623","2.056377","24.542437","24.307962","0.756582","24.4107","5.991","5.9337","1253.8433","59.8155","0","0","0","0","0","0","0","0","0","0"
"2","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT2",,"LT2","LT2",,,"0.4","1276","93","1369","1362","0","1362","35","739","28","767","0","0","0","34043.05","0","0","0","0","0","98264.04","0","1906182.34","0","2004446.38","8620.06","1995826.32","0","47345547.89","777825","3198.78","1153720.25","252218","49013672.64","0","0","0","0","0","14432019.35","1094748.62","239175.71","1971.18","872536.54","247710.66","15960323.48","166566.8","0","15103","0","174892.81","40624.16","0","0","0","0","0","0","15230287.97","861174.17","11887797.81","531642.59","872536.54","247710.66","13564654.83","224802.5","1851.93","820093.42","232822.87","14475614.88","3822.54","0","343.73","0","4015.99","155405.33","0","0","0","0","0","0","0","0","0","0","14475614.88","232822.87","0","49007358.49","792198.21","3311.01","1206156.33","267105.79","50733730.55","9.92","93.20672","57.915361","2.742947","95.097697","4.902303","22.285271","22.27909","0.780831","32.4149","7.2238","7.2218","1570.8827","72.8004","0","0","0","0","0","0","0","0","0","0"
"3","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT3A",,"LT3A","LT3A",,,"0.4","2116","186","2302","2292","0","2292","69","1191","52","1243","0","0","0","63110.6","0","0","0","0","0","370318.24","0","6909960.79","0","7280275.16","12740.51","7267534.65","0","163624372.89","1594146.23","182519.68","12541814.73","2257859.89","174494342.03","0","0","0","0","0","56786154","4068494.89","314988.13","47203","4751867.17","1474738.28","63300555.41","546418.17","0","49538.95","0","573740.82","385248.59","0","0","0","0","0","0","59178944.14","1650784.04","53514612.97","2108103.76","4751867.17","1474738.28","51689539.67","286717.59","42966.03","4325384.63","1342380.89","55727952.66","363980.87","0","32997.9","0","382180.5","953502.77","0","0","0","0","0","0","0","0","0","0","55727952.66","1342380.89","0","170749792.62","1622416.77","186756.66","12968304.28","2390221.15","182017952.04","9.92","91.92007","56.285444","3.26087","94.913456","5.086597","23.596021","23.435302","0.765441","32.6629","7.7071","7.6546","3440.5837","77.1633","0","0","0","0","0","0","0","0","0","0"
"4","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT3B",,"LT3B","LT3B",,,"0.4","302","31","333","332","0","332","0","191","4","195","0","0","0","9765.27","0","0","0","0","0","44237.78","0","632208.66","0","676450.31","2979.11","673467.33","0","19441794.7","203507.7","2756.83","941667.99","113279.5","20279468.76","0","0","0","0","0","5073365.7","575908.36","63365.95","1031.19","341251.97","80168.88","5699801.87","33470.44","0","3037.43","0","35141.83","35625.45","0","0","0","0","0","0","5430850.58","134106.16","4693618.79","218287.16","341251.97","80168.88","4659583.48","58200.88","947.01","313417","73630.32","4964798.6","11722.97","0","1059.24","0","12307.19","58520.4","0","0","0","0","0","0","0","0","0","0","4964798.6","73630.32","0","20201338.83","208676.64","2841.02","969495.95","119818.06","21066118.88","9.92","90.690691","63.245033","0","93.459734","6.539694","19.157989","19.110616","0.810882","38.4053","7.3577","7.3395","2239.9017","73.9869","0","0","0","0","0","0","0","0","0","0"
"5","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT4A",,"LT4A","LT4A",,,"0.4","10311","1172","11483","233","5691","5924","209","333","1167","1500","0","0","0","339018.29","0","0","0","0","0","26933756.56","0","993941.66","0","27927698.23","232068.42","27695629.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7852011.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.92","89.793608","3.229561","2.026961","3.558982","96.441018","0","0","0","0","0","0","2708.5344","0","0","0","0","0","0","0","0","0","0","0"
"6","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT4B",,"LT4B","LT4B",,,"0.4","403","62","465","432","17","449","0","238","8","246","0","0","0","7784.36","0","0","0","0","0","53484.61","0","1468733.64","0","1522218.25","7656.69","1514561.56","0","27883363.72","334572.85","5618.9","709700.55","563379.73","29175842.67","0","0","0","0","0","7306649.91","336499.58","112586.96","4713.99","480910.85","191320.45","8050250.03","122448.96","0","11097.52","0","128573.53","23697.43","0","0","0","0","0","0","7591088.68","371610.48","6553338.69","242472.07","480910.85","191320.45","6774558.53","104388.62","4370.26","445892.65","177388.3","7304672.87","66112.92","0","5990.69","0","69417.02","97205.56","0","0","0","0","0","0","0","0","0","0","7304672.87","177388.3","0","28633777.09","342771.19","5962.63","744725.75","577311.88","29967893.87","9.92","86.666667","59.057072","0","96.486403","3.513597","19.808928","19.622454","0.805024","24.4552","4.8443","4.7987","3777.2165","48.374","0","0","0","0","0","0","0","0","0","0"
"7","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT4C",,"LT4C","LT4C",,,"0.4","168","31","199","200","0","200","0","95","4","99","0","0","0","2166.62","0","0","0","0","0","69389.94","0","826334.12","0","895724.05","158.63","895565.42","0","12520838.3","233786.24","12149.74","1066862.23","225951.58","13575696.87","0","0","0","0","0","4568198.46","492476.65","74938.03","3738.92","464524.13","79990.91","5232902.59","85337.82","0","7737.39","0","89605.29","6639.15","0","0","0","0","0","0","4894646.48","112095.6","3972288.46","183710.19","464524.13","79990.91","4280192.51","70214.03","3500.41","435237.08","74945.77","4667333.02","36492.1","0","3311.01","0","38314.39","28339.4","0","0","0","0","0","0","0","0","0","0","4667333.02","74945.77","0","13098804.04","238510.25","12388.25","1096149.27","230996.71","14179712.36","9.92","84.422111","56.547619","0","92.253202","7.746799","25.018595","24.814889","0.753895","20.9982","5.2535","5.2107","5331.6908","52.5272","0","0","0","0","0","0","0","0","0","0"
"8","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT5",,"LT5","LT5",,,"0.4","2351","216","2567","2526","17","2543","69","1191","80","1271","0","0","0","67823","0","0","0","0","0","145759.49","0","4067240.66","0","4213000.15","30947.87","4182056.15","0","94791735.36","2449590.46","30458.53","6392657.3","1121594.38","101905513.37","0","0","0","0","0","27805806.4","3179617.21","472598.27","13342.27","2986577.28","556740.58","32113561.43","255584","0","23170.09","0","268363.2","205968.36","0","0","0","0","0","0","29902249.09","1456519.31","23783194.28","1200776.68","2986577.28","556740.58","27062105.69","459958.35","12984.51","2906699.05","541848.92","29674227.61","183984.89","0","16681.35","0","193185.29","388716.65","0","0","0","0","0","0","0","0","0","0","29674227.61","541848.92","0","97447897.74","2462230.37","30809.28","6472535.52","1136486.04","104633460.57","9.92","91.585508","50.659294","2.934921","96.540245","3.459755","22.285942","22.141794","0.780736","31.8108","7.0893","7.0435","1792.0035","71.003","0","0","0","0","0","0","0","0","0","0"
"9","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT6A",,"LT6A","LT6A",,,"0.4","571","62","633","631","0","631","35","358","8","366","0","0","0","17688.92","0","0","0","0","0","201043.17","0","5529768.48","0","5730811.64","13119.67","5717691.97","0","161380096.94","823014.54","58398.73","8566352.42","954586.53","167914582.15","0","0","0","0","0","41834926.93","1875914.3","323906.1","37347.12","4352946.03","811326.39","46349613.7","349495.46","0","31686.13","0","366967.71","35981.4","0","0","0","0","0","0","43116870.68","445581.27","38433365.37","719488.7","4352946.03","811326.39","36430536.22","282063.22","32520.89","3790620.7","706516.06","39527722.22","382056.69","0","34632.36","0","401161.65","799059.29","0","0","0","0","0","0","0","0","0","0","39527722.22","706516.06","0","167684374.71","864857.43","63224.95","9128684.77","1059396.86","174678323.05","9.92","90.205371","62.697023","6.129597","96.49189","3.50811","18.63535","18.448123","0.815247","37.3881","6.9674","6.8974","10036.4477","69.5302","0","0","0","0","0","0","0","0","0","0"
"10","BESCOM","BRAZ","BANGALORE","CHANDAPURA","K3 KAGGALIPURA","Bannerghatta Village",,"LT6B",,"LT6B","LT6B",,,"0.4","1411","154","1565","1562","0","1562","35","882","20","902","0","0","0","29938.07","0","0","0","0","0","92514.76","0","3135140.58","0","3227655.33","18288.61","3209366.72","0","79621211.33","2497337.39","14092.86","2867380.75","784959.38","84492748.46","0","0","0","0","0","22270818.69","1764482.63","432341.66","7667.24","1944519.6","279784.4","24960780.36","344040.21","0","31188.07","0","361245.51","80950.41","0","0","0","0","0","0","23604293.21","830172.13","19397003.66","244615.48","1944519.6","279784.4","20515564.78","398267.66","7063.96","1791265.92","257731.28","22163412.27","43928.26","0","3984.43","0","46125.83","377092.33","0","0","0","0","0","0","0","0","0","0","22163412.27","257731.28","0","82666007.64","2531415.25","14696.14","3020634.44","807008.62","87678533.83","9.92","90.159744","62.508859","2.48051","97.133686","2.866315","20.291295","20.249153","0.801057","33.9112","6.881","6.8667","2287.4949","69.2208","0","0","0","0","0","0","0","0","0","0"
