"id","corporate_office","zone","circle","division","subdivision","section","rate_schedule_main_grp","tariff","rate_schedule_code","debit_rate","credit_rate","demand_based_tariff","time_of_day","voltage_class_kv","active_installations","inactive_installations","total_installations","metered_installations","unmetered_installations","total_metered_unmetered","dc_mnr_installations","installations_billed","installations_unbilled","total_billed_unbilled","ob_active","ob_inactive","ob_total","demand_active","demand_inactive","demand_total","collection_active","collection_inactive","collection_total","assessed_taxed_consumption","assessed_tax_exempted_consumption","metered_taxed_consumption","metered_tax_exempted_consumption","total_consumption","bill_cancellation_consumption","net_consumption","wheeled_energy_units","ob_revenue","ob_interest_rev_misc","ob_interest_tax","ob_tax","ob_total_sum","misc_revenue","misc_demand","misc_interest_rev_arrears","misc_total_sum","cur_revenue","cur_misc_demand","cur_interest_rev_arrears","cur_interest_tax","cur_tax","cur_total_sum","dr_adj_revenue","dr_adj_misc","dr_adj_tax","dr_adj_total","bc_revenue","bc_misc","bc_interest_rev_misc","bc_interest_tax","bc_tax","bc_total_sum","net_demand_revenue","net_demand_tax","coll_revenue","coll_interest_rev_misc","coll_interest_tax","coll_tax","coll_total_sum","cr_adj_revenue","cr_adj_misc","cr_adj_tax","cr_adj_total","net_iod","net_reversal_iod","suspense_to_rr_transfer","from_rr_transfer","to_rr_transfer","pc_revenue","pc_interest_revenue","pc_interest_tax","pc_tax","pc_total","net_collection","write_off","cb_revenue","cb_interest_rev_misc","cb_interest_tax","cb_tax","cb_total_sum","average_cost_of_supply","pct_live_installations","pct_billed_installations","pct_dc_mnr_installations","pct_metered_consumption","pct_assessed_consumption","pct_coll_eff_with_adj","pct_coll_eff_without_adj","ratio_arrears_to_demand","demand_per_unit","coll_per_unit_with_adj","coll_per_unit_without_adj","consumption_per_installation","pct_recovery_of_avg_cost","gst_tcs_ob","gst_tcs_demand","gst_tcs_debit_adjustment","gst_tcs_bill_cancellation","gst_tcs_net_demand","gst_tcs_collection","gst_tcs_credit_adjustment","gst_tcs_payment_cancellation","gst_tcs_cb"
"1","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","HT","HT","HT1","23.2507","61.2507","N","N","11","30","2","32","30","0","30","0","28","2","30","52098732.44","0.0","52098732.44","310563751.54","0.0","310563751.54","303683061.53","0.0","303683061.53","0.0","0.0","21749344.99","0.0","21749344.99","52900.15","21696444.84","0.0","52098732.44","1227175.74","56561.41","4492804.55","57982996.57","52098732.44","22878717.34","1022304.22","75999754.0","260884500.38","22878717.34","1022304.22","0.0","24347108.76","309132630.69","2258632.62","0.0","0.0","2258632.62","381424.57","0.0","0.0","0.0","111655.72","493080.29","310563751.54","24235453.03","303683061.53","991926.86","0.0","27982946.85","333893133.91","2351512.75","0.0","0.0","2351512.75","4394297.86","139432.8","0.0","0.0","0.0","732650.86","0.0","0.0","0.0","732650.86","335511995.8","163046.6","58816375.85","1257553.1","0.0","745310.74","60964789.57","9.92","100","93.3333","0","100.0","0.0","87.3245","86.6957","0.157373","17.8116","15.5539","15.3519","724978.1664","154.7568","107722.43","1273026.13","0.0","0.0","1273026.13","1235198.67","0.0","0.0","145549.89"
"2","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","HT","HT","HT2A1-N","23.2607","61.2607","N","N","Upto 11","21","2","23","21","0","21","0","19","2","21","28546253.24","0.0","28546253.24","199559214.01","0.0","199559214.01","192056260.92","0.0","192056260.92","0.0","0.0","20873386.65","0.0","20873386.65","78124.7","20795261.94","0.0","28546253.24","357761.02","32260.55","1985588.04","31124567.68","28546253.24","13171383.29","468097.42","42185733.96","170923723.11","13171383.29","468097.42","0.0","16034519.2","200597723.04","1398282.87","0.0","0.0","1398282.87","41753.4","0.0","0.0","0.0","50754.65","92508.05","199559214.01","15983764.56","192056260.92","450699.61","0.0","17350352.58","211266255.47","949620.21","0.0","0.0","949620.21","1682410.31","38410.72","0.0","0.0","0.0","70534.41","0.0","0.0","0.0","70534.41","212145341.27","51060.06","35998146.27","375158.83","0.0","619000.02","37249397.64","9.92","100","90.4762","0","100.0","0.0","87.2091","87.0184","0.152548","11.6982","10.2019","10.1213","993970.7927","102.0294","202704.82","1463330.06","0.0","0.0","1463330.06","1408942.36","0.0","0.0","257092.52"
"3","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","HT","HT","HT2A2-N","23.2237","61.2617","N","N","Upto 11","28","2","30","28","0","28","0","26","2","28","47287194.5","0.0","47287194.5","264603346.59","0.0","264603346.59","266759264.48","0.0","266759264.48","0.0","0.0","25673083.68","0.0","25673083.68","10203.41","25662880.27","0.0","47287194.5","564568.77","43873.98","3424456.5","51468122.63","47287194.5","17982124.8","828113.32","66097432.61","226231969.66","17982124.8","828113.32","0.0","19962859.42","265005067.2","2135122.25","0.0","0.0","2135122.25","1384221.55","0.0","0.0","0.0","66903.69","1451125.24","264603346.59","19895955.73","266759264.48","807646.88","0.0","22809309.23","291503409.67","2112358.83","0.0","0.0","2112358.83","2730522.55","36760.98","0.0","0.0","0.0","809258.97","0.0","0.0","0.0","809258.97","292806509.53","105773.52","45025503.09","585035.21","0.0","511103.01","46298234.08","9.92","100","92.8571","0","100.0","0.0","88.2955","88.0402","0.138935","12.98","11.4608","11.3544","916895.8456","114.46","148028.89","1155752.99","0.0","0.0","1155752.99","1127189.09","0.0","0.0","176592.79"
"4","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","HT","HT","HT2B1","23.2707","61.2707","N","N","11","24","2","26","24","0","24","0","22","2","24","51010786.99","0.0","51010786.99","270558551.07","0.0","270558551.07","269566478.95","0.0","269566478.95","0.0","0.0","20651829.04","0.0","20651829.04","66849.87","20584979.18","0.0","51010786.99","1482882.76","53761.96","4524935.0","57215338.13","51010786.99","19282146.47","680865.01","70973798.47","230012545.59","19282146.47","680865.01","0.0","19194022.97","269169580.04","828652.51","0.0","0.0","828652.51","208670.0","0.0","0.0","0.0","68345.59","277015.59","270558551.07","19125677.38","269566478.95","653107.27","0.0","22751975.52","293703378.09","2042323.07","0.0","0.0","2042323.07","4312669.44","169326.62","0.0","0.0","0.0","615259.95","0.0","0.0","0.0","615259.95","295130441.2","122822.8","51880036.3","1510640.49","0.0","898636.86","54463388.02","9.92","100","91.6667","0","100.0","0.0","87.4019","86.3469","0.15973","16.5105","14.4305","14.2217","860492.8768","143.3636","142971.43","762919.29","0.0","0.0","762919.29","731816.34","0.0","0.0","174074.38"
"5","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","HT","HT","HT2B2","23.2737","61.2737","N","N","11","30","2","32","30","0","30","0","28","2","30","43300492.76","0.0","43300492.76","333504676.2","0.0","333504676.2","320389333.68","0.0","320389333.68","0.0","0.0","22548934.7","0.0","22548934.7","63981.04","22484953.66","0.0","43300492.76","653927.36","69478.88","3678747.63","47946725.19","43300492.76","24367327.81","731992.35","68399812.92","284965247.94","24367327.81","731992.35","0.0","24119788.34","334184356.44","612534.65","0.0","0.0","612534.65","2271746.7","0.0","0.0","0.0","97141.07","2368887.77","333504676.2","24022647.27","320389333.68","714428.92","0.0","27131538.0","350722111.97","693063.97","0.0","0.0","693063.97","3537776.83","173247.87","0.0","0.0","0.0","427563.01","0.0","0.0","0.0","427563.01","350987612.93","19530.04","56396305.24","671490.78","0.0","569856.9","57942866.91","9.92","100","93.3333","0","100.0","0.0","87.8628","87.1177","0.143709","17.881","15.7107","15.5538","751631.1566","156.7926","244078.55","2547946.79","0.0","0.0","2547946.79","2486811.36","0.0","0.0","305213.98"
"6","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","HT","HT","HT2C1","23.2708","61.2708","N","N","11","40","3","43","40","0","40","0","37","3","40","52921794.25","0.0","52921794.25","397122569.37","0.0","397122569.37","376870871.78","0.0","376870871.78","0.0","0.0","36169484.57","0.0","36169484.57","66102.6","36103381.97","0.0","52921794.25","1379409.87","79104.47","6049627.98","60753317.16","52921794.25","27153750.92","470415.77","80545960.94","342778547.37","27153750.92","470415.77","0.0","28679335.99","399082050.05","26184.75","0.0","0.0","26184.75","930496.14","0.0","0.0","0.0","46219.37","976715.5","397122569.37","28633116.62","376870871.78","448030.95","0.0","33076380.16","413094942.35","3660046.07","0.0","0.0","3660046.07","5163495.7","125258.38","0.0","0.0","0.0","1053392.52","0.0","0.0","0.0","1053392.52","415701595.91","156567.13","73016924.71","1401794.69","0.0","1606364.45","76483346.6","9.92","100","92.5","0","100.0","0.0","87.2","86.1282","0.159455","13.2613","11.5638","11.4211","904237.1143","115.132","323380.6","2834541.63","0.0","0.0","2834541.63","2699659.47","0.0","0.0","458262.75"
"7","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","LT","LT1","LT1-M","23.1017","61.1017","N","N","Upto 11","2391","182","2573","2391","0","2391","0","2210","181","2391","369557.13","0.0","369557.13","2883894.92","0.0","2883894.92","2818111.5","0.0","2818111.5","18652.63","0.0","491913.39","0.0","510566.01","1166.47","509399.54","0.0","369557.13","10320.48","339.29","28318.08","408534.98","369557.13","197109.87","7263.34","573930.33","2471880.34","197109.87","7263.34","0.0","225988.48","2902242.03","13310.76","0.0","0.0","13310.76","10042.58","0.0","0.0","0.0","914.82","10957.41","2883894.92","225073.66","2818111.5","7203.71","0.0","252218.91","3077534.12","15454.06","0.0","0.0","15454.06","41325.37","1925.86","0.0","0.0","0.0","2501.97","0.0","0.0","0.0","2501.97","3090486.21","1754.12","433586.43","10380.11","0.0","1172.83","445139.38","9.92","100","92.4299","0","96.3467","3.6533","89.3788","88.5323","0.127566","6.8345","6.1086","6.0277","213.5366","60.763","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","LT","LT2","LT2A1-N","23.1117","61.1117","N","N","Upto 11","51231","3900","55131","51231","0","51231","0","47363","3868","51231","113950643.41","0.0","113950643.41","583560264.84","0.0","583560264.84","586951386.39","0.0","586951386.39","2198899.45","0.0","53257425.04","0.0","55456324.48","41059.84","55415264.64","0.0","113950643.41","3089978.15","59935.94","7966841.86","125067399.36","113950643.41","39942407.4","1573950.44","155467001.25","499350991.07","39942407.4","1573950.44","0.0","46099701.07","586967049.98","4353863.97","0.0","0.0","4353863.97","3177305.87","0.0","0.0","0.0","165187.43","3342493.3","583560264.84","45934513.64","586951386.39","1506326.32","0.0","51743596.54","640201309.25","1502721.32","0.0","0.0","1502721.32","8572064.82","316815.97","0.0","0.0","0.0","114387.47","0.0","0.0","0.0","114387.47","641589643.09","252895.32","110306626.54","3157602.27","0.0","2157758.96","115621987.77","9.92","100","92.4499","0","96.0349","3.9651","86.8752","86.2301","0.154826","13.4662","11.6988","11.5442","1082.4759","116.3734","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","LT","LT2","LT2A1FL","23.1147","61.1147","N","N","Upto 11","749","57","806","749","0","749","0","692","57","749","1623779.53","0.0","1623779.53","6672724.65","0.0","6672724.65","7118907.62","0.0","7118907.62","34118.7","0.0","774695.25","0.0","808813.95","843.61","807970.34","0.0","1623779.53","40926.87","1279.0","103352.05","1769337.45","1623779.53","461950.9","29723.48","2115453.92","5699166.82","461950.9","29723.48","0.0","470024.08","6660865.28","6257.24","0.0","0.0","6257.24","16048.19","0.0","0.0","0.0","438.81","16487.0","6672724.65","469585.26","7118907.62","28895.3","0.0","557400.19","7705203.1","8242.19","0.0","0.0","8242.19","62997.28","1339.62","0.0","0.0","0.0","16790.39","0.0","0.0","0.0","16790.39","7696654.91","3677.63","1173918.93","41755.06","0.0","15537.12","1231211.11","9.92","100","92.3899","0","95.7816","4.2184","88.4501","87.7954","0.140188","10.8586","9.6044","9.5265","1079.8584","96.0337","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","BESCOM Corporate Office","BMAZ-North","Bengaluru East Circle","Vidhana Soudha","AR Circle","AR Circle","LT","LT3","LT3-N","23.1217","61.1217","N","N","Upto 11","9762","743","10505","9762","0","9762","0","9025","737","9762","136719688.98","0.0","136719688.98","1158145839.24","0.0","1158145839.24","1108097886.29","0.0","1108097886.29","2081801.68","0.0","89040392.62","0.0","91122194.3","151714.64","90970479.66","0.0","136719688.98","4017866.57","97314.8","10530288.76","152489020.54","136719688.98","82725902.59","1624461.13","221070052.7","984637310.63","82725902.59","1624461.13","0.0","91339592.89","1160327267.24","6101898.24","0.0","0.0","6101898.24","1294097.07","0.0","0.0","0.0","195977.43","1490074.5","1158145839.24","91143615.46","1108097886.29","1605253.23","0.0","100665355.08","1219892045.87","6762723.36","0.0","0.0","6762723.36","12875093.65","352370.46","0.0","0.0","0.0","4323701.97","0.0","0.0","0.0","4323701.97","1222331067.26","578844.31","186188797.62","4037074.47","0.0","1008549.14","192472238.16","9.92","100","92.4503","0","97.7154","2.2846","88.8481","88.3086","0.138719","15.2268","13.5287","13.3874","9334.3776","134.9539","1123861.43","9637506.77","0.0","0.0","9637506.77","9523551.27","0.0","0.0","1237816.92"
